DrugBank ID,Water Solubility,logP,logS,pKa (Strongest Acidic),pKa (Strongest Basic),Physiological Charge,Hydrogen Acceptor Count,Hydrogen Donor Count,Polar Surface Area,Rotatable Bond Count,Refractivity,Polarizability,Number of Rings,Bioavailability,Rule of Five,Ghose Filter,Veber's Rule,MDDR-like Rule,Human Intestinal Absorption_Value,Human Intestinal Absorption_Probability,Blood Brain Barrier_Value,Blood Brain Barrier_Probability,Caco-2 permeable_Value,Caco-2 permeable_Probability,P-glycoprotein substrate_Value,P-glycoprotein substrate_Probability,P-glycoprotein inhibitor I_Value,P-glycoprotein inhibitor I_Probability,P-glycoprotein inhibitor II_Value,P-glycoprotein inhibitor II_Probability,Renal organic cation transporter_Value,Renal organic cation transporter_Probability,CYP450 2C9 substrate_Value,CYP450 2C9 substrate_Probability,CYP450 2D6 substrate_Value,CYP450 2D6 substrate_Probability,CYP450 3A4 substrate_Value,CYP450 3A4 substrate_Probability,CYP450 1A2 substrate_Value,CYP450 1A2 substrate_Probability,CYP450 2C9 inhibitor_Value,CYP450 2C9 inhibitor_Probability,CYP450 2D6 inhibitor_Value,CYP450 2D6 inhibitor_Probability,CYP450 2C19 inhibitor_Value,CYP450 2C19 inhibitor_Probability,CYP450 3A4 inhibitor_Value,CYP450 3A4 inhibitor_Probability,CYP450 inhibitory promiscuity_Value,CYP450 inhibitory promiscuity_Probability,Ames test_Value,Ames test_Probability,Carcinogenicity_Value,Carcinogenicity_Probability,Biodegradation_Value,Biodegradation_Probability,Rat acute toxicity_Value,Rat acute toxicity_Probability,hERG inhibition (predictor I)_Value,hERG inhibition (predictor I)_Probability,hERG inhibition (predictor II)_Value,hERG inhibition (predictor II)_Probability
DB00819,2.79 mg/mL,-1,-1.9,6.55,-3.3,-1,5,2,115.04 Å2,2,47.36 m3·mol-1,19.16 Å3,1,1,Yes,No,No,No,+,0.9156,+,0.9382,-,0.7761,Non-substrate,0.8369,Non-inhibitor,0.9267,Non-inhibitor,0.9507,Non-inhibitor,0.9365,Non-substrate,0.7316,Non-substrate,0.9116,Non-substrate,0.7817,Non-inhibitor,0.9259,Non-inhibitor,0.9071,Non-inhibitor,0.9625,Non-inhibitor,0.9026,Non-inhibitor,0.9037,Low CYP Inhibitory Promiscuity,0.8798,Non AMES toxic,0.8445,Non-carcinogens,0.802,Not ready biodegradable,0.9301,"1.8939 LD50, mol/kg",Not applicable,Weak inhibitor,0.9926,Non-inhibitor,0.9449
DB00830,2.44 mg/mL,1.79,-1.9,,8.22,1,2,1,21.26 Å2,1,52.47 m3·mol-1,20.1 Å3,2,1,Yes,Yes,Yes,No,+,1.0,+,0.9723,+,0.7082,Substrate,0.5953,Non-inhibitor,0.7284,Non-inhibitor,0.9708,Inhibitor,0.5,Non-substrate,0.7859,Non-substrate,0.5985,Non-substrate,0.5798,Non-inhibitor,0.6065,Non-inhibitor,0.9188,Non-inhibitor,0.6846,Non-inhibitor,0.7002,Non-inhibitor,0.8524,Low CYP Inhibitory Promiscuity,0.7188,Non AMES toxic,0.8037,Non-carcinogens,0.9102,Not ready biodegradable,0.9538,"2.6487 LD50, mol/kg",Not applicable,Weak inhibitor,0.7603,Non-inhibitor,0.7129
DB12221,0.0042 mg/mL,3.6,-4.9,,-4.8,0,2,0,43.37 Å2,0,97.48 m3·mol-1,38.67 Å3,5,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00852,8.26 mg/mL,1.32,-1.3,13.89,9.52,1,2,2,32.26 Å2,3,49.69 m3·mol-1,18.83 Å3,1,1,Yes,Yes,Yes,No,+,0.9645,+,0.5638,+,0.8866,Non-substrate,0.7182,Non-inhibitor,0.9795,Non-inhibitor,0.984,Non-inhibitor,0.8965,Non-substrate,0.8001,Non-substrate,0.7839,Non-substrate,0.7235,Non-inhibitor,0.5595,Non-inhibitor,0.7209,Inhibitor,0.5846,Non-inhibitor,0.5737,Non-inhibitor,0.9431,Low CYP Inhibitory Promiscuity,0.907,Non AMES toxic,0.9517,Non-carcinogens,0.7739,Not ready biodegradable,0.7807,"2.3882 LD50, mol/kg",Not applicable,Weak inhibitor,0.9329,Non-inhibitor,0.9277
DB03085,608.0 mg/mL,-1,0.9,3.53,-3.6,-1,3,2,57.53 Å2,1,14.35 m3·mol-1,6.2 Å3,0,1,Yes,No,No,No,+,0.893,+,0.651,-,0.7739,Non-substrate,0.7721,Non-inhibitor,0.976,Non-inhibitor,0.9877,Non-inhibitor,0.9549,Non-substrate,0.8584,Non-substrate,0.9123,Non-substrate,0.8096,Non-inhibitor,0.9308,Non-inhibitor,0.9635,Non-inhibitor,0.9736,Non-inhibitor,0.9756,Non-inhibitor,0.9693,Low CYP Inhibitory Promiscuity,0.989,Non AMES toxic,0.9556,Non-carcinogens,0.6589,Ready biodegradable,0.9398,"1.5594 LD50, mol/kg",Not applicable,Weak inhibitor,0.9917,Non-inhibitor,0.9585
DB00858,0.00605 mg/mL,3.95,-4.7,19.38,-0.88,0,2,1,37.3 Å2,0,88.18 m3·mol-1,36.63 Å3,4,1,Yes,Yes,Yes,No,+,1.0,+,0.984,+,0.8629,Substrate,0.5627,Inhibitor,0.5153,Non-inhibitor,0.6722,Non-inhibitor,0.8105,Non-substrate,0.7608,Non-substrate,0.9117,Substrate,0.7529,Non-inhibitor,0.5,Non-inhibitor,0.6907,Non-inhibitor,0.9731,Non-inhibitor,0.8725,Non-inhibitor,0.8587,Low CYP Inhibitory Promiscuity,0.9634,Non AMES toxic,0.9326,Non-carcinogens,0.8955,Not ready biodegradable,0.9827,"2.2244 LD50, mol/kg",Not applicable,Weak inhibitor,0.9399,Non-inhibitor,0.5786
DB00860,0.239 mg/mL,1.27,-3.2,12.59,-2.9,0,5,3,94.83 Å2,2,98.49 m3·mol-1,38.69 Å3,4,1,Yes,Yes,No,No,+,0.9918,+,0.9383,-,0.5096,Substrate,0.7861,Non-inhibitor,0.7847,Non-inhibitor,0.8383,Non-inhibitor,0.7463,Non-substrate,0.8496,Non-substrate,0.9138,Substrate,0.7407,Non-inhibitor,0.9406,Non-inhibitor,0.9072,Non-inhibitor,0.9418,Non-inhibitor,0.9253,Non-inhibitor,0.8902,Low CYP Inhibitory Promiscuity,0.9095,Non AMES toxic,0.9132,Non-carcinogens,0.9597,Not ready biodegradable,0.925,"1.8914 LD50, mol/kg",Not applicable,Weak inhibitor,0.95,Non-inhibitor,0.584
DB12248,0.366 mg/mL,2.56,-2.8,13.9,9.55,1,2,2,32.26 Å2,4,63.88 m3·mol-1,24.53 Å3,1,1,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00866,0.188 mg/mL,2.69,-3.1,14.09,9.67,1,3,2,41.49 Å2,8,74.66 m3·mol-1,29.38 Å3,1,1,Yes,Yes,No,No,+,0.9831,-,0.9394,+,0.8866,Substrate,0.6064,Inhibitor,0.5066,Non-inhibitor,0.8382,Non-inhibitor,0.8305,Non-substrate,0.824,Substrate,0.882,Non-substrate,0.7469,Inhibitor,0.9106,Non-inhibitor,0.9071,Inhibitor,0.8931,Non-inhibitor,0.9025,Non-inhibitor,0.8839,Low CYP Inhibitory Promiscuity,0.8933,Non AMES toxic,0.9133,Non-carcinogens,0.9106,Not ready biodegradable,0.9646,"2.5069 LD50, mol/kg",Not applicable,Weak inhibitor,0.8664,Non-inhibitor,0.6946
DB12255,0.0436 mg/mL,2.2,-3.8,3.12,1.15,-1,5,3,99.52 Å2,4,75.51 m3·mol-1,29.63 Å3,2,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00871,,0.44,,8.86,9.76,1,4,4,72.72 Å2,4,63.04 m3·mol-1,24.78 Å3,1,1,Yes,Yes,No,No,+,0.987,-,0.9355,-,0.8404,Substrate,0.6335,Non-inhibitor,0.8954,Non-inhibitor,0.9672,Non-inhibitor,0.9067,Non-substrate,0.7678,Non-substrate,0.7922,Non-substrate,0.6291,Non-inhibitor,0.9516,Non-inhibitor,0.9303,Non-inhibitor,0.923,Non-inhibitor,0.9115,Non-inhibitor,0.8766,Low CYP Inhibitory Promiscuity,0.9117,Non AMES toxic,0.9119,Non-carcinogens,0.8484,Not ready biodegradable,0.9808,"2.1080 LD50, mol/kg",Not applicable,Weak inhibitor,0.9548,Non-inhibitor,0.9467
DB00872,0.00175 mg/mL,5.44,-5.5,13.53,6.23,0,3,2,78.09 Å2,4,150.83 m3·mol-1,55.51 Å3,6,1,No,No,No,No,+,1.0,+,0.9522,+,0.5291,Substrate,0.5919,Inhibitor,0.6901,Inhibitor,0.8429,Non-inhibitor,0.6631,Non-substrate,0.7671,Non-substrate,0.7534,Substrate,0.6602,Inhibitor,0.7008,Inhibitor,0.5368,Non-inhibitor,0.6597,Inhibitor,0.8477,Inhibitor,0.9027,High CYP Inhibitory Promiscuity,0.9043,Non AMES toxic,0.6672,Non-carcinogens,0.8831,Not ready biodegradable,0.9584,"2.5446 LD50, mol/kg",Not applicable,Weak inhibitor,0.9885,Inhibitor,0.8456
DB12266,0.00737 mg/mL,-5.3,-5.3,2.52,11.91,-3,30,17,597.15 Å2,38,398.92 m3·mol-1,159.26 Å3,6,0,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00880,0.398 mg/mL,-0.44,-2.9,9.19,-4.2,0,6,2,118.69 Å2,1,62.51 m3·mol-1,24.55 Å3,2,1,Yes,No,No,No,+,0.9119,-,0.9506,-,0.7368,Non-substrate,0.706,Non-inhibitor,0.8482,Non-inhibitor,0.8381,Non-inhibitor,0.8177,Non-substrate,0.755,Non-substrate,0.8379,Non-substrate,0.6308,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.923,Non-inhibitor,0.9382,Non-inhibitor,0.8901,Low CYP Inhibitory Promiscuity,0.8658,Non AMES toxic,0.9132,Non-carcinogens,0.7792,Not ready biodegradable,1.0,"1.5023 LD50, mol/kg",Not applicable,Weak inhibitor,0.9654,Non-inhibitor,0.9352
DB00882,0.000414 mg/mL,6.47,-6,,9.31,1,2,0,12.47 Å2,9,133.76 m3·mol-1,46.72 Å3,3,1,No,No,Yes,Yes,+,1.0,+,0.8723,+,0.7235,Substrate,0.7536,Inhibitor,0.7799,Non-inhibitor,0.6476,Inhibitor,0.7021,Non-substrate,0.7972,Non-substrate,0.6847,Substrate,0.7021,Inhibitor,0.9332,Non-inhibitor,0.6036,Inhibitor,0.8315,Inhibitor,0.7004,Non-inhibitor,0.8089,High CYP Inhibitory Promiscuity,0.9254,Non AMES toxic,0.5,Non-carcinogens,0.621,Not ready biodegradable,0.9895,"1.8805 LD50, mol/kg",Not applicable,Strong inhibitor,0.8038,Inhibitor,0.8672
DB00887,0.0257 mg/mL,2.42,-4.2,4.69,2.7,-1,5,3,118.72 Å2,8,95.78 m3·mol-1,37.21 Å3,2,1,Yes,Yes,No,No,+,0.9967,-,0.6636,-,0.6492,Non-substrate,0.509,Non-inhibitor,0.8765,Non-inhibitor,0.8103,Non-inhibitor,0.8966,Non-substrate,0.6368,Non-substrate,0.7656,Non-substrate,0.6059,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.7344,Non AMES toxic,0.6794,Non-carcinogens,0.7294,Not ready biodegradable,0.9837,"1.8148 LD50, mol/kg",Not applicable,Weak inhibitor,0.9319,Non-inhibitor,0.8591
DB00893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00894,0.023 mg/mL,3.23,-4.1,18.37,-5,0,2,0,43.37 Å2,0,85.79 m3·mol-1,33.42 Å3,4,1,Yes,Yes,No,No,+,0.9945,+,0.9379,+,0.7355,Substrate,0.6792,Inhibitor,0.6476,Non-inhibitor,0.6498,Non-inhibitor,0.7565,Non-substrate,0.8542,Non-substrate,0.9116,Substrate,0.6459,Non-inhibitor,0.7315,Non-inhibitor,0.8996,Non-inhibitor,0.9177,Non-inhibitor,0.8484,Non-inhibitor,0.7612,Low CYP Inhibitory Promiscuity,0.9224,Non AMES toxic,0.9515,Non-carcinogens,0.9515,Not ready biodegradable,0.9096,"1.7356 LD50, mol/kg",Not applicable,Weak inhibitor,0.8719,Non-inhibitor,0.8734
DB00903,0.0194 mg/mL,3.66,-4.2,2.8,-5,-1,4,1,63.6 Å2,6,72.22 m3·mol-1,28.57 Å3,1,1,Yes,Yes,No,No,+,0.9591,-,0.6921,+,0.5597,Substrate,0.54,Non-inhibitor,0.5574,Non-inhibitor,0.9828,Non-inhibitor,0.9052,Non-substrate,0.8508,Non-substrate,0.8947,Non-substrate,0.5262,Non-inhibitor,0.9045,Inhibitor,0.8949,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.831,Low CYP Inhibitory Promiscuity,0.8384,Non AMES toxic,0.9133,Non-carcinogens,0.8344,Ready biodegradable,0.6545,"2.4505 LD50, mol/kg",Not applicable,Weak inhibitor,0.9228,Non-inhibitor,0.9044
DB00907,5.03 mg/mL,2.28,-1.8,,8.85,1,3,0,55.84 Å2,5,81.16 m3·mol-1,32.02 Å3,3,1,Yes,Yes,No,No,+,0.8644,+,0.8805,+,0.7654,Substrate,0.5,Inhibitor,0.8168,Non-inhibitor,0.893,Inhibitor,0.6182,Non-substrate,0.7897,Non-substrate,0.9116,Substrate,0.6856,Non-inhibitor,0.8627,Non-inhibitor,0.9341,Non-inhibitor,0.5614,Non-inhibitor,0.9383,Non-inhibitor,0.9237,Low CYP Inhibitory Promiscuity,0.9408,Non AMES toxic,0.7437,Non-carcinogens,0.9585,Not ready biodegradable,0.5319,"2.6387 LD50, mol/kg",Not applicable,Weak inhibitor,0.8463,Non-inhibitor,0.8042
DB00921,0.0168 mg/mL,3.55,-4.4,10.42,9.63,1,5,2,62.16 Å2,5,131.76 m3·mol-1,53.03 Å3,7,1,Yes,No,No,No,+,0.9055,+,0.9401,+,0.6893,Substrate,0.9126,Inhibitor,0.5192,Non-inhibitor,0.6992,Inhibitor,0.5797,Non-substrate,0.8366,Substrate,0.8919,Substrate,0.8142,Non-inhibitor,0.9153,Non-inhibitor,0.8692,Non-inhibitor,0.6721,Non-inhibitor,0.7801,Non-inhibitor,0.8322,Low CYP Inhibitory Promiscuity,0.9212,Non AMES toxic,0.7448,Non-carcinogens,0.9391,Not ready biodegradable,1.0,"3.1511 LD50, mol/kg",Not applicable,Weak inhibitor,0.8366,Non-inhibitor,0.586
DB00938,0.00226 mg/mL,3.61,-5.3,10.12,9.4,1,5,4,81.95 Å2,16,122.39 m3·mol-1,50.6 Å3,2,1,Yes,Yes,No,No,+,0.8516,-,0.8862,-,0.6968,Substrate,0.7767,Inhibitor,0.539,Inhibitor,0.7663,Non-inhibitor,0.6106,Non-substrate,0.8,Non-substrate,0.9116,Non-substrate,0.5937,Inhibitor,0.9106,Non-inhibitor,0.9099,Inhibitor,0.8931,Non-inhibitor,0.9025,Non-inhibitor,0.6121,Low CYP Inhibitory Promiscuity,0.8618,Non AMES toxic,0.807,Non-carcinogens,0.9378,Ready biodegradable,0.5587,"2.0830 LD50, mol/kg",Not applicable,Strong inhibitor,0.741,Inhibitor,0.7149
DB15133,,4,,,9.13,1,7,0,94.71 Å2,7,154.74 m3·mol-1,54.7 Å3,5,1,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00947,0.00672 mg/mL,7.57,-5,10.32,-0.88,0,3,2,57.53 Å2,15,155.34 m3·mol-1,65.88 Å3,4,0,No,No,No,Yes,+,1.0,+,0.9217,-,0.5095,Substrate,0.722,Non-inhibitor,0.6251,Non-inhibitor,0.967,Non-inhibitor,0.7568,Non-substrate,0.7667,Non-substrate,0.7737,Substrate,0.6945,Non-inhibitor,0.6842,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.658,Inhibitor,0.7959,Low CYP Inhibitory Promiscuity,0.6701,Non AMES toxic,0.6318,Non-carcinogens,0.75,Not ready biodegradable,1.0,"2.6310 LD50, mol/kg",Not applicable,Weak inhibitor,0.6158,Inhibitor,0.7955
DB00959,0.109 mg/mL,1.56,-3.5,12.59,-2.9,0,5,3,94.83 Å2,2,103.04 m3·mol-1,40.77 Å3,4,1,Yes,Yes,No,No,+,0.9911,+,0.9484,-,0.6404,Substrate,0.7812,Non-inhibitor,0.7489,Non-inhibitor,0.604,Non-inhibitor,0.769,Non-substrate,0.8415,Non-substrate,0.9115,Substrate,0.7582,Non-inhibitor,0.9473,Non-inhibitor,0.907,Non-inhibitor,0.9513,Non-inhibitor,0.9026,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.9167,Non AMES toxic,0.9337,Non-carcinogens,0.9529,Not ready biodegradable,0.9492,"2.0025 LD50, mol/kg",Not applicable,Weak inhibitor,0.9459,Non-inhibitor,0.5985
DB00960,0.861 mg/mL,1.69,-2.5,14.09,9.67,1,3,3,57.28 Å2,6,71.46 m3·mol-1,28.27 Å3,2,1,Yes,Yes,No,No,+,0.9951,+,0.6929,+,0.8867,Substrate,0.6667,Non-inhibitor,0.9272,Non-inhibitor,0.9423,Non-inhibitor,0.8179,Non-substrate,0.8315,Substrate,0.8919,Non-substrate,0.708,Non-inhibitor,0.7809,Non-inhibitor,0.9071,Inhibitor,0.5,Non-inhibitor,0.9025,Non-inhibitor,0.831,Low CYP Inhibitory Promiscuity,0.8331,Non AMES toxic,0.9218,Non-carcinogens,0.9367,Not ready biodegradable,0.9843,"2.9438 LD50, mol/kg",Not applicable,Weak inhibitor,0.9404,Non-inhibitor,0.5774
DB12370,0.0032 mg/mL,0.64,-5.4,11.79,10.2,2,8,8,240.21 Å2,19,196.22 m3·mol-1,77.05 Å3,4,0,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB15198,0.0059 mg/mL,5.01,-4.7,19.79,9.12,1,2,0,20.31 Å2,7,97.27 m3·mol-1,36.08 Å3,2,1,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00983,0.0416 mg/mL,1.06,-3.9,8.61,9.81,1,5,4,90.82 Å2,8,97.87 m3·mol-1,36.56 Å3,2,1,Yes,Yes,No,No,+,0.8991,-,0.8026,-,0.6916,Substrate,0.747,Non-inhibitor,0.8773,Non-inhibitor,0.8561,Non-inhibitor,0.8818,Non-substrate,0.714,Non-substrate,0.7086,Substrate,0.5556,Non-inhibitor,0.6609,Non-inhibitor,0.907,Inhibitor,0.8931,Inhibitor,0.8994,Non-inhibitor,0.8757,Low CYP Inhibitory Promiscuity,0.8442,Non AMES toxic,0.7517,Non-carcinogens,0.8704,Not ready biodegradable,0.992,"2.4047 LD50, mol/kg",Not applicable,Weak inhibitor,0.9611,Non-inhibitor,0.6602
DB00984,0.000458 mg/mL,5.79,-6,18.25,-4.7,0,2,0,43.37 Å2,5,118.43 m3·mol-1,47.83 Å3,5,1,No,No,No,No,+,1.0,+,0.9543,+,0.6714,Substrate,0.6529,Inhibitor,0.7951,Inhibitor,0.6657,Non-inhibitor,0.6836,Non-substrate,0.8112,Non-substrate,0.9213,Substrate,0.6889,Non-inhibitor,0.8333,Non-inhibitor,0.8469,Non-inhibitor,0.9277,Inhibitor,0.6153,Non-inhibitor,0.7091,Low CYP Inhibitory Promiscuity,0.5453,Non AMES toxic,0.911,Non-carcinogens,0.9399,Not ready biodegradable,0.9685,"1.8785 LD50, mol/kg",Not applicable,Weak inhibitor,0.7552,Non-inhibitor,0.737
DB15205,0.02 mg/mL,2,-4.4,12.19,8.34,1,6,2,117.33 Å2,9,140.17 m3·mol-1,54.59 Å3,4,1,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00990,0.00683 mg/mL,3.87,-4.6,,-5,0,2,0,34.14 Å2,0,89.03 m3·mol-1,33.72 Å3,4,1,Yes,Yes,Yes,No,+,1.0,+,0.9778,+,0.7992,Substrate,0.5589,Inhibitor,0.8974,Non-inhibitor,0.6749,Non-inhibitor,0.6499,Non-substrate,0.8764,Non-substrate,0.9115,Substrate,0.7167,Non-inhibitor,0.8552,Non-inhibitor,0.9224,Non-inhibitor,0.9373,Non-inhibitor,0.751,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8276,Non AMES toxic,0.9483,Non-carcinogens,0.9245,Not ready biodegradable,0.9539,"1.7582 LD50, mol/kg",Not applicable,Weak inhibitor,0.76,Non-inhibitor,0.7791
DB00999,2.24 mg/mL,-0.58,-2.1,9.09,-2.7,0,5,3,118.36 Å2,1,63.11 m3·mol-1,25.35 Å3,2,1,Yes,No,No,No,+,0.9202,-,0.9659,-,0.8956,Non-substrate,0.6533,Non-inhibitor,0.8624,Non-inhibitor,0.8688,Non-inhibitor,0.8416,Non-substrate,0.7664,Non-substrate,0.8333,Non-substrate,0.6217,Non-inhibitor,0.9401,Non-inhibitor,0.9071,Non-inhibitor,0.9252,Non-inhibitor,0.9025,Non-inhibitor,0.9569,Low CYP Inhibitory Promiscuity,0.9036,Non AMES toxic,0.9133,Non-carcinogens,0.7986,Not ready biodegradable,0.9964,"2.0666 LD50, mol/kg",Not applicable,Weak inhibitor,0.9576,Non-inhibitor,0.9135
DB08357,11.4 mg/mL,0.74,-1.2,,-3.7,0,3,0,27.69 Å2,8,44.6 m3·mol-1,19.75 Å3,0,1,Yes,Yes,Yes,No,+,0.9956,+,0.9617,+,0.6684,Non-substrate,0.5384,Non-inhibitor,0.7381,Non-inhibitor,0.8763,Non-inhibitor,0.8289,Non-substrate,0.8849,Non-substrate,0.846,Non-substrate,0.6401,Non-inhibitor,0.8245,Non-inhibitor,0.9147,Non-inhibitor,0.9348,Non-inhibitor,0.9136,Non-inhibitor,0.9682,Low CYP Inhibitory Promiscuity,0.8896,Non AMES toxic,0.7933,Carcinogens,0.5528,Not ready biodegradable,0.5093,"1.5452 LD50, mol/kg",Not applicable,Weak inhibitor,0.8567,Non-inhibitor,0.7523
DB01001,2.15 mg/mL,0.34,-2,10.12,9.4,1,4,4,72.72 Å2,5,67.87 m3·mol-1,26.86 Å3,1,1,Yes,Yes,No,No,+,0.9812,-,0.9659,-,0.7112,Substrate,0.684,Non-inhibitor,0.8781,Non-inhibitor,0.9673,Non-inhibitor,0.8974,Non-substrate,0.7897,Non-substrate,0.9116,Non-substrate,0.7074,Non-inhibitor,0.9046,Non-inhibitor,0.9197,Non-inhibitor,0.9231,Non-inhibitor,0.9287,Non-inhibitor,0.9343,Low CYP Inhibitory Promiscuity,0.8834,Non AMES toxic,0.8409,Non-carcinogens,0.8863,Not ready biodegradable,0.9734,"2.5275 LD50, mol/kg",Not applicable,Weak inhibitor,0.9564,Non-inhibitor,0.9288
DB01006,0.0799 mg/mL,2.94,-3.6,,1.89,0,4,0,78.29 Å2,3,94.47 m3·mol-1,29.59 Å3,3,1,Yes,Yes,No,No,+,0.9965,+,0.9737,+,0.6347,Non-substrate,0.8391,Non-inhibitor,0.8087,Non-inhibitor,0.9147,Non-inhibitor,0.5908,Non-substrate,0.7898,Non-substrate,0.9116,Non-substrate,0.6843,Non-inhibitor,0.8374,Non-inhibitor,0.9071,Non-inhibitor,0.923,Inhibitor,0.8993,Inhibitor,0.6451,High CYP Inhibitory Promiscuity,0.7027,Non AMES toxic,0.6371,Non-carcinogens,0.8926,Not ready biodegradable,0.9864,"1.9916 LD50, mol/kg",Not applicable,Weak inhibitor,0.9261,Non-inhibitor,0.8817
DB08366,0.0144 mg/mL,3.24,-4.5,2.96,-3.4,-1,7,4,133.16 Å2,5,115.72 m3·mol-1,44.69 Å3,5,1,Yes,Yes,No,No,+,0.5661,-,0.782,-,0.6954,Substrate,0.7704,Non-inhibitor,0.9305,Non-inhibitor,0.8106,Non-inhibitor,0.9186,Non-substrate,0.7226,Non-substrate,0.812,Substrate,0.6913,Non-inhibitor,0.8335,Non-inhibitor,0.8514,Non-inhibitor,0.8931,Non-inhibitor,0.8335,Non-inhibitor,0.9476,Low CYP Inhibitory Promiscuity,0.8182,Non AMES toxic,0.6614,Non-carcinogens,0.9485,Not ready biodegradable,0.9897,"2.9926 LD50, mol/kg",Not applicable,Weak inhibitor,0.9709,Non-inhibitor,0.8182
DB05804,0.00806 mg/mL,3.42,-4.7,-1.4,-7.5,-1,4,1,80.67 Å2,2,94.65 m3·mol-1,39.85 Å3,4,1,Yes,Yes,No,No,+,0.996,+,0.9388,-,0.6601,Non-substrate,0.507,Inhibitor,0.6926,Non-inhibitor,0.9548,Non-inhibitor,0.7909,Non-substrate,0.8322,Non-substrate,0.8338,Substrate,0.6799,Non-inhibitor,0.8203,Non-inhibitor,0.84,Non-inhibitor,0.882,Non-inhibitor,0.8117,Non-inhibitor,0.9481,Low CYP Inhibitory Promiscuity,0.7575,Non AMES toxic,0.5802,Non-carcinogens,0.586,Not ready biodegradable,0.9519,"2.4168 LD50, mol/kg",Not applicable,Strong inhibitor,0.5859,Inhibitor,0.5409
DB05805,0.00223 mg/mL,3.81,-5.2,,9.76,1,2,0,12.47 Å2,3,84.32 m3·mol-1,33.66 Å3,3,1,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB05830,0.0391 mg/mL,3.35,-3.9,18.34,-0.88,0,2,1,37.3 Å2,0,84.5 m3·mol-1,33.92 Å3,4,1,Yes,Yes,Yes,No,+,1.0,+,0.973,+,0.8984,Substrate,0.6498,Inhibitor,0.5489,Non-inhibitor,0.8923,Non-inhibitor,0.7324,Non-substrate,0.8167,Non-substrate,0.9116,Substrate,0.7739,Non-inhibitor,0.9005,Non-inhibitor,0.95,Non-inhibitor,0.9452,Non-inhibitor,0.6668,Non-inhibitor,0.8812,Low CYP Inhibitory Promiscuity,0.8683,Non AMES toxic,0.9382,Non-carcinogens,0.9483,Not ready biodegradable,0.9174,"1.6259 LD50, mol/kg",Not applicable,Weak inhibitor,0.8938,Non-inhibitor,0.7163
DB08387,0.00149 mg/mL,4.67,-5.4,,4.31,0,4,0,52.83 Å2,5,127.18 m3·mol-1,43.9 Å3,5,1,Yes,Yes,No,No,+,1.0,+,0.993,+,0.6104,Non-substrate,0.679,Non-inhibitor,0.5662,Inhibitor,0.8714,Inhibitor,0.6129,Non-substrate,0.7196,Non-substrate,0.6791,Substrate,0.6687,Inhibitor,0.8023,Inhibitor,0.6659,Non-inhibitor,0.7439,Inhibitor,0.7536,Inhibitor,0.6054,High CYP Inhibitory Promiscuity,0.9682,Non AMES toxic,0.6614,Non-carcinogens,0.9475,Not ready biodegradable,0.9877,"2.2528 LD50, mol/kg",Not applicable,Weak inhibitor,0.8211,Non-inhibitor,0.6704
DB08388,0.0061 mg/mL,2.44,-4.8,6.59,-3.5,-1,5,2,102.96 Å2,8,98.65 m3·mol-1,37.48 Å3,3,1,Yes,Yes,No,Yes,+,0.9362,+,0.8022,-,0.6118,Substrate,0.8613,Inhibitor,0.6656,Non-inhibitor,0.9264,Non-inhibitor,0.8241,Non-substrate,0.7648,Non-substrate,0.818,Substrate,0.5196,Non-inhibitor,0.7325,Non-inhibitor,0.7189,Non-inhibitor,0.8904,Non-inhibitor,0.5675,Non-inhibitor,0.911,Low CYP Inhibitory Promiscuity,0.5565,Non AMES toxic,0.6363,Non-carcinogens,0.883,Not ready biodegradable,0.9971,"2.5001 LD50, mol/kg",Not applicable,Weak inhibitor,0.9489,Inhibitor,0.5663
