DrugBank ID,Description,Kingdom,Super Class,Class,Sub Class,Direct Parent,Alternative Parents,Substituents,Molecular Framework,External Descriptors
DB01565,"This compound belongs to the class of organic compounds known as morphinans. These are polycyclic compounds with a four-ring skeleton with three condensed six-member rings forming a partially hydrogenated phenanthrene moiety, one of which is aromatic while the two others are alicyclic.",Organic compounds,Alkaloids and derivatives,Morphinans,Not Available,Morphinans,"['Phenanthrenes and derivatives', 'Tetralins', 'Coumarans', 'Aralkylamines', 'Alkyl aryl ethers', '1-hydroxy-2-unsubstituted benzenoids', 'Piperidines', 'Trialkylamines', 'Secondary alcohols', 'Cyclic alcohols and derivatives', 'Oxacyclic compounds', 'Azacyclic compounds', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['1-hydroxy-2-unsubstituted benzenoid', 'Alcohol', 'Alkyl aryl ether', 'Amine', 'Aralkylamine', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Benzenoid', 'Coumaran', 'Cyclic alcohol', 'Ether', 'Hydrocarbon derivative', 'Morphinan', 'Organic nitrogen compound', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Oxacycle', 'Phenanthrene', 'Piperidine', 'Secondary alcohol', 'Tertiary aliphatic amine', 'Tertiary amine', 'Tetralin']",Aromatic heteropolycyclic compounds,morphinane alkaloid (CHEBI:4575)
DB08905,This compound belongs to the class of organic compounds known as androgens and derivatives. These are 3-hydroxylated C19 steroid hormones. They are known to favor the development of masculine characteristics. They also show profound effects on scalp and body hair in humans.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,"['Hydroxysteroids', '3-oxo delta-4-steroids', '17-oxosteroids', 'Delta-4-steroids', 'Cyclohexenones', 'Enols', 'Organic oxides', 'Hydrocarbon derivatives']","['17-oxosteroid', '3-oxo-delta-4-steroid', '3-oxosteroid', '4-hydroxysteroid', 'Aliphatic homopolycyclic compound', 'Androgen-skeleton', 'Carbonyl group', 'Cyclic ketone', 'Cyclohexenone', 'Delta-4-steroid']",Aliphatic homopolycyclic compounds,"enol, 3-oxo Delta(4)-steroid, 17-oxo steroid, hydroxy steroid (CHEBI:75172)"
DB01569,This compound belongs to the class of organic compounds known as androgens and derivatives. These are 3-hydroxylated C19 steroid hormones. They are known to favor the development of masculine characteristics. They also show profound effects on scalp and body hair in humans.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,"['3-oxo delta-1,4-steroids', '17-hydroxysteroids', '11-alpha-hydroxysteroids', 'Delta-1,4-steroids', 'Tertiary alcohols', 'Secondary alcohols', 'Cyclic ketones', 'Cyclic alcohols and derivatives', 'Organic oxides', 'Hydrocarbon derivatives', 'Aldehydes']","['11-alpha-hydroxysteroid', '11-hydroxysteroid', '17-hydroxysteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', 'Alcohol', 'Aldehyde', 'Aliphatic homopolycyclic compound', 'Androgen-skeleton', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Ketone', 'Organic oxide', 'Organic oxygen compound', 'Organooxygen compound', 'Oxosteroid', 'Secondary alcohol', 'Tertiary alcohol']",Aliphatic homopolycyclic compounds,Not Available
DB01570,"This compound belongs to the class of organic compounds known as fentanyls. These are compounds containing the fentanyl moiety or a derivative, which is based on a N-(1-(2-phenylethyl)-4-piperidinyl)-N-phenylpropanamide skeleton.",Organic compounds,Organoheterocyclic compounds,Piperidines,Fentanyls,Fentanyls,"['Anilides', 'Aralkylamines', 'Tertiary carboxylic acid amides', 'Trialkylamines', 'Secondary alcohols', 'Amino acids and derivatives', '1,2-aminoalcohols', 'Azacyclic compounds', 'Organopnictogen compounds', 'Organic oxides', 'Hydrocarbon derivatives', 'Carbonyl compounds', 'Aromatic alcohols']","['1,2-aminoalcohol', 'Alcohol', 'Amine', 'Amino acid or derivatives', 'Anilide', 'Aralkylamine', 'Aromatic alcohol', 'Aromatic heteromonocyclic compound', 'Azacycle', 'Benzenoid', 'Carbonyl group', 'Carboxamide group', 'Carboxylic acid derivative', 'Fentanyl', 'Hydrocarbon derivative', 'Monocyclic benzene moiety', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Secondary alcohol', 'Tertiary aliphatic amine', 'Tertiary amine', 'Tertiary carboxylic acid amide']",Aromatic heteromonocyclic compounds,Not Available
DB01571,"This compound belongs to the class of organic compounds known as fentanyls. These are compounds containing the fentanyl moiety or a derivative, which is based on a N-(1-(2-phenylethyl)-4-piperidinyl)-N-phenylpropanamide skeleton.",Organic compounds,Organoheterocyclic compounds,Piperidines,Fentanyls,Fentanyls,"['Phenethylamines', 'Anilides', 'Aralkylamines', 'Tertiary carboxylic acid amides', 'Trialkylamines', 'Amino acids and derivatives', 'Azacyclic compounds', 'Organopnictogen compounds', 'Organic oxides', 'Hydrocarbon derivatives', 'Carbonyl compounds']","['Amine', 'Amino acid or derivatives', 'Anilide', 'Aralkylamine', 'Aromatic heteromonocyclic compound', 'Azacycle', 'Benzenoid', 'Carbonyl group', 'Carboxamide group', 'Carboxylic acid derivative', 'Fentanyl', 'Hydrocarbon derivative', 'Monocyclic benzene moiety', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenethylamine', 'Tertiary aliphatic amine', 'Tertiary amine', 'Tertiary carboxylic acid amide']",Aromatic heteromonocyclic compounds,"piperidines, monocarboxylic acid amide (CHEBI:61092)"
DB01572,,,,,,,,,,
DB01573,"This compound belongs to the class of organic compounds known as morphinans. These are polycyclic compounds with a four-ring skeleton with three condensed six-member rings forming a partially hydrogenated phenanthrene moiety, one of which is aromatic while the two others are alicyclic.",Organic compounds,Alkaloids and derivatives,Morphinans,Not Available,Morphinans,"['Phenanthrenes and derivatives', 'Tetralins', 'Coumarans', 'Aralkylamines', 'Alkyl aryl ethers', 'Piperidines', 'Benzene and substituted derivatives', 'Trialkylamines', 'Secondary alcohols', 'Oxacyclic compounds', 'Azacyclic compounds', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['Alcohol', 'Alkyl aryl ether', 'Amine', 'Aralkylamine', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Benzenoid', 'Coumaran', 'Ether', 'Hydrocarbon derivative', 'Monocyclic benzene moiety', 'Morphinan', 'Organic nitrogen compound', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Oxacycle', 'Phenanthrene', 'Piperidine', 'Secondary alcohol', 'Tertiary aliphatic amine', 'Tertiary amine', 'Tetralin']",Aromatic heteropolycyclic compounds,Not Available
DB08906,This compound belongs to the class of organic compounds known as steroid esters. These are compounds containing a steroid moiety which bears a carboxylic acid ester group.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,Steroid esters,"['Androgens and derivatives', '11-beta-hydroxysteroids', '3-oxo delta-1,4-steroids', 'Halogenated steroids', 'Delta-1,4-steroids', 'Furoic acid esters', 'Heteroaromatic compounds', 'Thioesters', 'Secondary alcohols', 'Carbothioic S-esters', 'Carboxylic acid esters', 'Cyclic alcohols and derivatives', 'Cyclic ketones', 'Fluorohydrins', 'Sulfenyl compounds', 'Oxacyclic compounds', 'Monocarboxylic acids and derivatives', 'Alkyl fluorides', 'Organofluorides', 'Organic oxides', 'Hydrocarbon derivatives']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', '6-halo-steroid', '9-halo-steroid', 'Alcohol', 'Alkyl fluoride', 'Alkyl halide', 'Androgen-skeleton', 'Androstane-skeleton', 'Aromatic heteropolycyclic compound', 'Carbonyl group', 'Carbothioic s-ester', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Fluorohydrin', 'Furan', 'Furoic acid ester', 'Furoic acid or derivatives', 'Halo-steroid', 'Halohydrin', 'Heteroaromatic compound', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Ketone', 'Monocarboxylic acid or derivatives', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organoheterocyclic compound', 'Organooxygen compound', 'Organosulfur compound', 'Oxacycle', 'Oxosteroid', 'Secondary alcohol', 'Steroid ester', 'Sulfenyl compound', 'Thiocarboxylic acid ester', 'Thiocarboxylic acid or derivatives']",Aromatic heteropolycyclic compounds,"thioester, 11beta-hydroxy steroid, steroid ester, fluorinated steroid, 3-oxo-Delta(1),Delta(4)-steroid, corticosteroid, 2-furoate ester (CHEBI:74899)"
DB01577,This compound belongs to the class of organic compounds known as amphetamines and derivatives. These are organic compounds containing or derived from 1-phenylpropan-2-amine.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Amphetamines and derivatives,"['Phenylpropanes', 'Aralkylamines', 'Dialkylamines', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['Amine', 'Amphetamine or derivatives', 'Aralkylamine', 'Aromatic homomonocyclic compound', 'Hydrocarbon derivative', 'Organic nitrogen compound', 'Organonitrogen compound', 'Organopnictogen compound', 'Phenylpropane', 'Secondary aliphatic amine']",Aromatic homomonocyclic compounds,amphetamines (CHEBI:6809)
DB01579,This compound belongs to the class of organic compounds known as phenylmorpholines. These are aromatic compounds containing a morpholine ring and a benzene ring linked to each other through a CC or a CN bond.,Organic compounds,Organoheterocyclic compounds,Oxazinanes,Morpholines,Phenylmorpholines,"['Aralkylamines', 'Benzene and substituted derivatives', 'Trialkylamines', 'Oxacyclic compounds', 'Dialkyl ethers', 'Azacyclic compounds', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['Amine', 'Aralkylamine', 'Aromatic heteromonocyclic compound', 'Azacycle', 'Benzenoid', 'Dialkyl ether', 'Ether', 'Hydrocarbon derivative', 'Monocyclic benzene moiety', 'Organic nitrogen compound']",Aromatic heteromonocyclic compounds,morpholines (CHEBI:8059)
DB01580,This compound belongs to the class of organic compounds known as phenol ethers. These are aromatic compounds containing an ether group substituted with a benzene ring.,Organic compounds,Benzenoids,Phenol ethers,Not Available,Phenol ethers,"['Phenoxy compounds', 'Alkyl aryl ethers', 'Secondary alcohols', '1,2-aminoalcohols', 'Dialkylamines', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['1,2-aminoalcohol', 'Alcohol', 'Alkyl aryl ether', 'Amine', 'Aromatic homomonocyclic compound', 'Ether', 'Hydrocarbon derivative', 'Monocyclic benzene moiety', 'Organic nitrogen compound', 'Organic oxygen compound']",Aromatic homomonocyclic compounds,Not Available
DB16117,,,,,,,,,,
DB08925,,,,,,,,,,
DB16136,,,,,,,,,,
DB16141,,,,,,,,,,
DB06788,This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds.,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,"['Tyrosine and derivatives', 'Phenylalanine and derivatives', 'Histidine and derivatives', 'Leucine and derivatives', 'N-acyl-alpha amino acids and derivatives', 'Proline and derivatives', 'Tryptamines and derivatives', 'Serine and derivatives', 'Alpha amino acid amides', 'Amphetamines and derivatives', '3-alkylindoles', 'N-acylpyrrolidines', 'Pyrrolidinecarboxamides', '1-hydroxy-2-unsubstituted benzenoids', 'N-acyl amines', 'N-substituted imidazoles', 'Substituted pyrroles', 'Pyrrolidine-2-ones', 'Tertiary carboxylic acid amides', 'Heteroaromatic compounds', 'Secondary carboxylic acid amides', 'Guanidines', 'Lactams', 'Propargyl-type 1,3-dipolar organic compounds', 'Carboxylic acids', 'Carboximidamides', 'Azacyclic compounds', 'Monocarboxylic acids and derivatives', 'Organic oxides', 'Carbonyl compounds', 'Organopnictogen compounds', 'Hydrocarbon derivatives', 'Primary alcohols']","['1-hydroxy-2-unsubstituted benzenoid', '2-pyrrolidone', '3-alkylindole', 'Alcohol', 'Alpha-amino acid amide', 'Alpha-amino acid or derivatives', 'Alpha-oligopeptide', 'Amphetamine or derivatives', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Azole', 'Benzenoid', 'Carbonyl group', 'Carboxamide group', 'Carboximidamide', 'Carboxylic acid', 'Fatty acyl', 'Fatty amide', 'Guanidine', 'Heteroaromatic compound', 'Histidine or derivatives', 'Hydrocarbon derivative', 'Imidazole', 'Indole', 'Indole or derivatives', 'Lactam', 'Leucine or derivatives', 'Monocarboxylic acid or derivatives', 'Monocyclic benzene moiety', 'N-acyl-alpha amino acid or derivatives', 'N-acyl-amine', 'N-acylpyrrolidine', 'N-substituted imidazole', 'N-substituted-alpha-amino acid', 'Organic 1,3-dipolar compound', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol', 'Phenylalanine or derivatives', 'Primary alcohol', 'Proline or derivatives', 'Propargyl-type 1,3-dipolar organic compound', 'Pyrrole', 'Pyrrolidine', 'Pyrrolidine carboxylic acid or derivatives', 'Pyrrolidine-2-carboxamide', 'Pyrrolidone', 'Secondary carboxylic acid amide', 'Serine or derivatives', 'Substituted pyrrole', 'Tertiary carboxylic acid amide', 'Triptan', 'Tyrosine or derivatives']",Not Available,acetate salt (CHEBI:63530)
DB13074,This compound belongs to the class of organic compounds known as dipeptides. These are organic compounds containing a sequence of exactly two alpha-amino acids joined by a peptide bond.,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,"['N-acyl-alpha amino acids and derivatives', 'Tryptamines and derivatives', 'Alpha amino acid amides', '3-alkylindoles', 'Substituted pyrroles', 'Fatty amides', 'Benzenoids', 'Heteroaromatic compounds', 'Secondary carboxylic acid amides', 'Azacyclic compounds', 'Organic oxides', 'Monoalkylamines', 'Hydrocarbon derivatives', 'Carbonyl compounds']","['3-alkylindole', 'Alpha-amino acid amide', 'Alpha-amino acid or derivatives', 'Alpha-dipeptide', 'Amine', 'Amino acid or derivatives', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Benzenoid', 'Carbonyl group', 'Carboxamide group', 'Fatty acyl', 'Fatty amide', 'Heteroaromatic compound', 'Hydrocarbon derivative', 'Indole', 'Indole or derivatives', 'N-acyl-alpha amino acid or derivatives', 'N-substituted-alpha-amino acid', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Primary aliphatic amine', 'Primary amine', 'Pyrrole', 'Secondary carboxylic acid amide', 'Substituted pyrrole', 'Triptan']",Aromatic heteropolycyclic compounds,Not Available
DB08971,This compound belongs to the class of organic compounds known as 21-hydroxysteroids. These are steroids carrying a hydroxyl group at the 21-position of the steroid backbone.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,21-hydroxysteroids,"['Gluco/mineralocorticoids, progestogins and derivatives', '20-oxosteroids', 'Halogenated steroids', '3-oxo delta-1,4-steroids', '11-beta-hydroxysteroids', 'Delta-1,4-steroids', 'Alpha-hydroxy ketones', 'Secondary alcohols', 'Cyclic ketones', 'Cyclic alcohols and derivatives', 'Primary alcohols', 'Organofluorides', 'Organic oxides', 'Hydrocarbon derivatives', 'Alkyl fluorides']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '20-oxosteroid', '21-hydroxysteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', '6-halo-steroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Alkyl fluoride', 'Alkyl halide', 'Alpha-hydroxy ketone', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Halo-steroid', 'Hydrocarbon derivative', 'Ketone', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organooxygen compound', 'Oxosteroid', 'Pregnane-skeleton', 'Primary alcohol', 'Progestogin-skeleton', 'Secondary alcohol']",Aliphatic homopolycyclic compounds,Not Available
DB08973,This compound belongs to the class of organic compounds known as 21-hydroxysteroids. These are steroids carrying a hydroxyl group at the 21-position of the steroid backbone.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,21-hydroxysteroids,"['Gluco/mineralocorticoids, progestogins and derivatives', '20-oxosteroids', '3-oxo delta-1,4-steroids', 'Halogenated steroids', 'Delta-1,4-steroids', 'Ketals', '1,3-dioxolanes', 'Alpha-hydroxy ketones', 'Cyclic ketones', 'Oxacyclic compounds', 'Hydrocarbon derivatives', 'Organic oxides', 'Alkyl fluorides', 'Alkyl chlorides', 'Organochlorides', 'Organofluorides', 'Primary alcohols']","['11-halo-steroid', '20-oxosteroid', '21-hydroxysteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', '6-halo-steroid', '9-halo-steroid', 'Acetal', 'Alcohol', 'Aliphatic heteropolycyclic compound', 'Alkyl chloride', 'Alkyl fluoride', 'Alkyl halide', 'Alpha-hydroxy ketone', 'Carbonyl group', 'Cyclic ketone', 'Delta-1,4-steroid', 'Halo-steroid', 'Hydrocarbon derivative', 'Ketal', 'Ketone', 'Meta-dioxolane', 'Organic oxide', 'Organic oxygen compound', 'Organochloride', 'Organofluoride', 'Organohalogen compound', 'Organoheterocyclic compound', 'Organooxygen compound', 'Oxacycle', 'Oxosteroid', 'Pregnane-skeleton', 'Primary alcohol', 'Progestogin-skeleton']",Aliphatic heteropolycyclic compounds,Not Available
DB06825,This compound belongs to the class of organic compounds known as polypeptides. These are peptides containing ten or more amino acid residues.,Organic compounds,Organic Polymers,Polypeptides,Not Available,Polypeptides,"['Peptides', 'Tyrosine and derivatives', 'Phenylalanine and derivatives', 'Histidine and derivatives', 'Leucine and derivatives', 'N-acyl-alpha amino acids and derivatives', 'Proline and derivatives', 'Tryptamines and derivatives', 'Serine and derivatives', 'Alpha amino acid amides', 'Amphetamines and derivatives', '3-alkylindoles', 'N-acylpyrrolidines', 'Pyrrolidinecarboxamides', '1-hydroxy-2-unsubstituted benzenoids', 'Substituted pyrroles', 'N-acyl amines', 'Pyrrolidine-2-ones', 'Tertiary carboxylic acid amides', 'Heteroaromatic compounds', 'Imidazoles', 'Secondary carboxylic acid amides', 'Guanidines', 'Primary carboxylic acid amides', 'Lactams', 'Propargyl-type 1,3-dipolar organic compounds', 'Carboximidamides', 'Azacyclic compounds', 'Hydrocarbon derivatives', 'Primary alcohols', 'Carbonyl compounds', 'Organopnictogen compounds', 'Organic oxides']","['1-hydroxy-2-unsubstituted benzenoid', '2-pyrrolidone', '3-alkylindole', 'Alcohol', 'Alpha peptide', 'Alpha-amino acid amide', 'Alpha-amino acid or derivatives', 'Amphetamine or derivatives', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Azole', 'Benzenoid', 'Carbonyl group', 'Carboxamide group', 'Carboximidamide', 'Carboxylic acid derivative', 'Fatty acyl', 'Fatty amide', 'Guanidine', 'Heteroaromatic compound', 'Histidine or derivatives', 'Hydrocarbon derivative', 'Imidazole', 'Indole', 'Indole or derivatives', 'Lactam', 'Leucine or derivatives', 'Monocyclic benzene moiety', 'N-acyl-alpha amino acid or derivatives', 'N-acyl-amine', 'N-acylpyrrolidine', 'N-substituted-alpha-amino acid', 'Organic 1,3-dipolar compound', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol', 'Phenylalanine or derivatives', 'Polypeptide', 'Primary alcohol', 'Primary carboxylic acid amide', 'Proline or derivatives', 'Propargyl-type 1,3-dipolar organic compound', 'Pyrrole', 'Pyrrolidine', 'Pyrrolidine carboxylic acid or derivatives', 'Pyrrolidine-2-carboxamide', 'Pyrrolidone', 'Secondary carboxylic acid amide', 'Serine or derivatives', 'Substituted pyrrole', 'Tertiary carboxylic acid amide', 'Triptan', 'Tyrosine or derivatives']",Aromatic heteropolycyclic compounds,oligopeptide (CHEBI:63633)
DB08985,This compound belongs to the class of organic compounds known as 1-hydroxy-4-unsubstituted benzenoids. These are phenols that are unsubstituted at the 4-position.,Organic compounds,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,1-hydroxy-4-unsubstituted benzenoids,"['Aralkylamines', '1-hydroxy-2-unsubstituted benzenoids', 'Benzene and substituted derivatives', 'Secondary alcohols', '1,2-aminoalcohols', 'Dialkylamines', 'Organopnictogen compounds', 'Hydrocarbon derivatives', 'Aromatic alcohols']","['1,2-aminoalcohol', '1-hydroxy-2-unsubstituted benzenoid', '1-hydroxy-4-unsubstituted benzenoid', 'Alcohol', 'Amine', 'Aralkylamine', 'Aromatic alcohol', 'Aromatic homomonocyclic compound', 'Hydrocarbon derivative', 'Monocyclic benzene moiety']",Aromatic homomonocyclic compounds,Not Available
DB08989,This compound belongs to the class of organic compounds known as methoxyphenols. These are compounds containing a methoxy group attached to the benzene ring of a phenol moiety.,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,"['Benzamides', 'Phenoxy compounds', 'Methoxybenzenes', 'Benzoyl derivatives', 'Anisoles', 'Alkyl aryl ethers', '1-hydroxy-2-unsubstituted benzenoids', 'Tertiary carboxylic acid amides', 'Organopnictogen compounds', 'Organonitrogen compounds', 'Organic oxides', 'Hydrocarbon derivatives']","['1-hydroxy-2-unsubstituted benzenoid', 'Alkyl aryl ether', 'Anisole', 'Aromatic homomonocyclic compound', 'Benzamide', 'Benzoic acid or derivatives', 'Benzoyl', 'Carboxamide group', 'Carboxylic acid derivative', 'Ether', 'Hydrocarbon derivative', 'Methoxybenzene', 'Methoxyphenol', 'Monocyclic benzene moiety', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol ether', 'Phenoxy compound', 'Tertiary carboxylic acid amide']",Aromatic homomonocyclic compounds,Not Available
DB13108,"This compound belongs to the class of organic compounds known as alkyl-phenylketones. These are aromatic compounds containing a ketone substituted by one alkyl group, and a phenyl group.",Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Alkyl-phenylketones,"['Phenylpropanes', 'Benzoyl derivatives', 'Aryl alkyl ketones', 'Toluenes', 'Alpha-amino ketones', 'Dialkylamines', 'Organopnictogen compounds', 'Organic oxides', 'Hydrocarbon derivatives']","['Alkyl-phenylketone', 'Alpha-aminoketone', 'Amine', 'Aromatic homomonocyclic compound', 'Aryl alkyl ketone', 'Benzenoid', 'Benzoyl', 'Hydrocarbon derivative', 'Monocyclic benzene moiety', 'Organic nitrogen compound']",Aromatic homomonocyclic compounds,"amphetamines, propanone (CHEBI:59331)"
DB13139,This compound belongs to the class of organic compounds known as benzyl alcohols. These are organic compounds containing the phenylmethanol substructure.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols,Benzyl alcohols,"['Aralkylamines', '1-hydroxy-2-unsubstituted benzenoids', 'Secondary alcohols', '1,2-aminoalcohols', 'Dialkylamines', 'Primary alcohols', 'Organopnictogen compounds', 'Hydrocarbon derivatives', 'Aromatic alcohols']","['1,2-aminoalcohol', '1-hydroxy-2-unsubstituted benzenoid', 'Alcohol', 'Amine', 'Aralkylamine', 'Aromatic alcohol', 'Aromatic homomonocyclic compound', 'Benzyl alcohol', 'Hydrocarbon derivative', 'Organic nitrogen compound']",Aromatic homomonocyclic compounds,albuterol (CHEBI:8746)
DB09022,This compound belongs to the class of organic compounds known as benzoic acid esters. These are ester derivatives of benzoic acid.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters,"['Trifluoromethylbenzenes', 'Amphetamines and derivatives', 'Phenylpropanes', 'Benzoyl derivatives', 'Aralkylamines', 'Carboxylic acid esters', 'Amino acids and derivatives', 'Monocarboxylic acids and derivatives', 'Dialkylamines', 'Organopnictogen compounds', 'Organooxygen compounds', 'Organofluorides', 'Organic oxides', 'Hydrocarbon derivatives', 'Alkyl fluorides']","['Alkyl fluoride', 'Alkyl halide', 'Amine', 'Amino acid or derivatives', 'Amphetamine or derivatives', 'Aralkylamine', 'Aromatic homomonocyclic compound', 'Benzoate ester', 'Benzoyl', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Hydrocarbon derivative', 'Monocarboxylic acid or derivatives', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenylpropane', 'Secondary aliphatic amine', 'Secondary amine', 'Trifluoromethylbenzene']",Aromatic homomonocyclic compounds,Not Available
DB06870,This compound belongs to the class of organic compounds known as estrogens and derivatives. These are steroids with a structure containing a 3-hydroxylated estrane.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Estrogens and derivatives,"['3-oxosteroids', '17-hydroxysteroids', 'Cyclohexenones', 'Tertiary alcohols', 'Cyclic alcohols and derivatives', 'Organic oxides', 'Hydrocarbon derivatives']","['17-hydroxysteroid', '3-oxosteroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Cyclohexenone', 'Estrogen-skeleton', 'Hydrocarbon derivative']",Aliphatic homopolycyclic compounds,Not Available
DB13169,This compound belongs to the class of organic compounds known as estrogens and derivatives. These are steroids with a structure containing a 3-hydroxylated estrane.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Estrogens and derivatives,"['3-oxo delta-4-steroids', '17-hydroxysteroids', 'Delta-4-steroids', 'Cyclohexenones', 'Secondary alcohols', 'Cyclic alcohols and derivatives', 'Organic oxides', 'Hydrocarbon derivatives']","['17-hydroxysteroid', '3-oxo-delta-4-steroid', '3-oxosteroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Cyclohexenone', 'Delta-4-steroid']",Aliphatic homopolycyclic compounds,"3-oxo Delta(4)-steroid, 17beta-hydroxy steroid, anabolic androgenic steroid (CHEBI:7466)  / Estrane and derivatives (C07254)  / C18 steroids (estrogens) and derivatives (LMST02010044)"
DB16279,,,,,,,,,,
DB01708,This compound belongs to the class of organic compounds known as androgens and derivatives. These are 3-hydroxylated C19 steroid hormones. They are known to favor the development of masculine characteristics. They also show profound effects on scalp and body hair in humans.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,"['3-beta-hydroxysteroids', '3-beta-hydroxy delta-5-steroids', '17-oxosteroids', 'Delta-5-steroids', 'Secondary alcohols', 'Ketones', 'Cyclic alcohols and derivatives', 'Organic oxides', 'Hydrocarbon derivatives']","['17-oxosteroid', '3-beta-hydroxy-delta-5-steroid', '3-beta-hydroxysteroid', '3-hydroxy-delta-5-steroid', '3-hydroxysteroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Androgen-skeleton', 'Carbonyl group', 'Cyclic alcohol']",Aliphatic homopolycyclic compounds,"3beta-hydroxy steroid, 17-oxo steroid, androstanoid (CHEBI:28689)  / C19 steroids (androgens) and derivatives, Androstane and derivatives, Androgens (C01227)  / C19 steroids (androgens) and derivatives (LMST02020021)"
