DrugBank ID,Human Intestinal Absorption_Value,Human Intestinal Absorption_Probability,Blood Brain Barrier_Value,Blood Brain Barrier_Probability,Caco-2 permeable_Value,Caco-2 permeable_Probability,P-glycoprotein substrate_Value,P-glycoprotein substrate_Probability,P-glycoprotein inhibitor I_Value,P-glycoprotein inhibitor I_Probability,P-glycoprotein inhibitor II_Value,P-glycoprotein inhibitor II_Probability,Renal organic cation transporter_Value,Renal organic cation transporter_Probability,CYP450 2C9 substrate_Value,CYP450 2C9 substrate_Probability,CYP450 2D6 substrate_Value,CYP450 2D6 substrate_Probability,CYP450 3A4 substrate_Value,CYP450 3A4 substrate_Probability,CYP450 1A2 substrate_Value,CYP450 1A2 substrate_Probability,CYP450 2C9 inhibitor_Value,CYP450 2C9 inhibitor_Probability,CYP450 2D6 inhibitor_Value,CYP450 2D6 inhibitor_Probability,CYP450 2C19 inhibitor_Value,CYP450 2C19 inhibitor_Probability,CYP450 3A4 inhibitor_Value,CYP450 3A4 inhibitor_Probability,CYP450 inhibitory promiscuity_Value,CYP450 inhibitory promiscuity_Probability,Ames test_Value,Ames test_Probability,Carcinogenicity_Value,Carcinogenicity_Probability,Biodegradation_Value,Biodegradation_Probability,Rat acute toxicity_Value,Rat acute toxicity_Probability,hERG inhibition (predictor I)_Value,hERG inhibition (predictor I)_Probability,hERG inhibition (predictor II)_Value,hERG inhibition (predictor II)_Probability
DB01185,+,1.0,+,0.9633,+,0.8586,Substrate,0.7505,Non-inhibitor,0.7583,Non-inhibitor,0.87,Non-inhibitor,0.8136,Non-substrate,0.862,Non-substrate,0.8773,Substrate,0.7669,Non-inhibitor,0.9041,Non-inhibitor,0.8159,Non-inhibitor,0.9286,Non-inhibitor,0.917,Non-inhibitor,0.8354,Low CYP Inhibitory Promiscuity,0.8585,Non AMES toxic,0.8777,Non-carcinogens,0.9242,Not ready biodegradable,1.0,"2.7028 LD50, mol/kg",Not applicable,Weak inhibitor,0.943,Non-inhibitor,0.5784
DB01191,+,1.0,+,0.9868,+,0.7004,Non-substrate,0.5138,Non-inhibitor,0.5934,Non-inhibitor,0.8383,Non-inhibitor,0.7404,Non-substrate,0.8506,Substrate,0.8919,Non-substrate,0.6781,Inhibitor,0.8859,Non-inhibitor,0.8616,Inhibitor,0.7253,Non-inhibitor,0.5205,Non-inhibitor,0.5219,Low CYP Inhibitory Promiscuity,0.6657,Non AMES toxic,0.8808,Non-carcinogens,0.6397,Not ready biodegradable,0.984,"3.1255 LD50, mol/kg",Not applicable,Weak inhibitor,0.9666,Inhibitor,0.7811
DB01192,+,0.9934,+,0.9382,+,0.7798,Substrate,0.9112,Non-inhibitor,0.8887,Non-inhibitor,0.9734,Non-inhibitor,0.5585,Non-substrate,0.8014,Substrate,0.8105,Substrate,0.7439,Non-inhibitor,0.8796,Non-inhibitor,0.9459,Non-inhibitor,0.7168,Non-inhibitor,0.8455,Non-inhibitor,0.9219,Low CYP Inhibitory Promiscuity,0.9812,Non AMES toxic,0.6663,Non-carcinogens,0.9635,Not ready biodegradable,0.9758,"2.9920 LD50, mol/kg",Not applicable,Weak inhibitor,0.9345,Non-inhibitor,0.9374
DB01193,+,0.9156,-,0.9659,-,0.8957,Substrate,0.7378,Non-inhibitor,0.8557,Non-inhibitor,0.8664,Non-inhibitor,0.9466,Non-substrate,0.8102,Non-substrate,0.9116,Non-substrate,0.5752,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Non-inhibitor,0.8721,Low CYP Inhibitory Promiscuity,0.9639,Non AMES toxic,0.9132,Non-carcinogens,0.849,Not ready biodegradable,0.8538,"2.0487 LD50, mol/kg",Not applicable,Weak inhibitor,0.9821,Non-inhibitor,0.8555
DB12643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB15566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01203,+,0.9788,-,0.966,-,0.8957,Substrate,0.8317,Inhibitor,0.6192,Non-inhibitor,0.7842,Non-inhibitor,0.8736,Non-substrate,0.7934,Substrate,0.7284,Non-substrate,0.5456,Non-inhibitor,0.9046,Non-inhibitor,0.9106,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Non-inhibitor,0.8308,Low CYP Inhibitory Promiscuity,0.8072,Non AMES toxic,0.9133,Non-carcinogens,0.8934,Not ready biodegradable,1.0,"1.7972 LD50, mol/kg",Not applicable,Weak inhibitor,0.9455,Inhibitor,0.5781
DB06212,+,0.961,+,0.8429,-,0.5116,Substrate,0.6765,Inhibitor,0.5241,Non-inhibitor,0.5525,Non-inhibitor,0.767,Non-substrate,0.7217,Non-substrate,0.7662,Substrate,0.7372,Non-inhibitor,0.7512,Non-inhibitor,0.7214,Non-inhibitor,0.7887,Non-inhibitor,0.5308,Inhibitor,0.8545,High CYP Inhibitory Promiscuity,0.5874,Non AMES toxic,0.7247,Non-carcinogens,0.8623,Not ready biodegradable,0.9939,"2.2269 LD50, mol/kg",Not applicable,Weak inhibitor,0.9807,Inhibitor,0.682
DB01210,+,0.9923,-,0.8738,-,0.6105,Substrate,0.8227,Inhibitor,0.5712,Non-inhibitor,0.5691,Non-inhibitor,0.8179,Non-substrate,0.7696,Substrate,0.8547,Non-substrate,0.5554,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8378,Non AMES toxic,0.8825,Non-carcinogens,0.9039,Not ready biodegradable,0.9972,"2.1253 LD50, mol/kg",Not applicable,Weak inhibitor,0.9613,Inhibitor,0.593
DB01214,+,0.8638,-,0.9906,-,0.5988,Substrate,0.6335,Non-inhibitor,0.7599,Non-inhibitor,0.8296,Non-inhibitor,0.9097,Non-substrate,0.8014,Substrate,0.5086,Non-substrate,0.6564,Non-inhibitor,0.6333,Non-inhibitor,0.8721,Non-inhibitor,0.7104,Non-inhibitor,0.9547,Non-inhibitor,0.8282,Low CYP Inhibitory Promiscuity,0.9528,Non AMES toxic,0.9219,Non-carcinogens,0.9205,Not ready biodegradable,0.7546,"2.1686 LD50, mol/kg",Not applicable,Weak inhibitor,0.9794,Non-inhibitor,0.7745
DB01217,+,0.9965,+,0.9382,+,0.5516,Non-substrate,0.6405,Non-inhibitor,0.764,Non-inhibitor,0.7662,Non-inhibitor,0.512,Non-substrate,0.803,Non-substrate,0.9116,Substrate,0.5761,Non-inhibitor,0.6218,Non-inhibitor,0.7616,Non-inhibitor,0.9183,Non-inhibitor,0.6404,Non-inhibitor,0.6501,Low CYP Inhibitory Promiscuity,0.7038,Non AMES toxic,0.6394,Non-carcinogens,0.8068,Not ready biodegradable,1.0,"2.5564 LD50, mol/kg",Not applicable,Weak inhibitor,0.9464,Non-inhibitor,0.8878
DB01222,+,0.9872,+,0.9533,-,0.6097,Substrate,0.804,Non-inhibitor,0.5881,Non-inhibitor,0.5911,Non-inhibitor,0.7867,Non-substrate,0.8488,Non-substrate,0.9116,Substrate,0.7337,Non-inhibitor,0.9046,Non-inhibitor,0.9075,Non-inhibitor,0.9441,Non-inhibitor,0.939,Inhibitor,0.796,Low CYP Inhibitory Promiscuity,0.8886,Non AMES toxic,0.9117,Non-carcinogens,0.9466,Not ready biodegradable,0.9759,"2.1601 LD50, mol/kg",Not applicable,Weak inhibitor,0.9483,Non-inhibitor,0.5627
DB01230,+,1.0,+,0.983,-,0.5064,Non-substrate,0.8719,Non-inhibitor,0.9072,Non-inhibitor,0.8851,Non-inhibitor,0.8843,Non-substrate,0.7857,Non-substrate,0.7793,Non-substrate,0.6888,Inhibitor,0.5472,Non-inhibitor,0.7351,Non-inhibitor,0.9412,Non-inhibitor,0.7174,Non-inhibitor,0.973,Low CYP Inhibitory Promiscuity,0.8905,Non AMES toxic,0.5921,Non-carcinogens,0.8633,Not ready biodegradable,0.8753,"2.5744 LD50, mol/kg",Not applicable,Weak inhibitor,0.9818,Non-inhibitor,0.9594
DB01234,+,0.992,+,0.9781,+,0.8304,Substrate,0.7862,Non-inhibitor,0.8112,Non-inhibitor,0.8134,Non-inhibitor,0.7971,Non-substrate,0.8733,Non-substrate,0.9115,Substrate,0.7315,Non-inhibitor,0.938,Non-inhibitor,0.9106,Non-inhibitor,0.9231,Non-inhibitor,0.9247,Non-inhibitor,0.8308,Low CYP Inhibitory Promiscuity,0.9169,Non AMES toxic,0.9132,Non-carcinogens,0.9399,Not ready biodegradable,1.0,"2.1482 LD50, mol/kg",Not applicable,Weak inhibitor,0.9558,Inhibitor,0.5091
DB01240,+,0.9922,+,0.8767,+,0.5636,Substrate,0.6946,Non-inhibitor,0.9131,Non-inhibitor,0.8879,Non-inhibitor,0.8878,Non-substrate,0.8171,Non-substrate,0.8622,Substrate,0.5384,Non-inhibitor,0.5729,Non-inhibitor,0.9251,Non-inhibitor,0.9401,Non-inhibitor,0.75,Non-inhibitor,0.6126,Low CYP Inhibitory Promiscuity,0.8673,Non AMES toxic,0.7865,Non-carcinogens,0.9555,Not ready biodegradable,0.5964,"2.6928 LD50, mol/kg",Not applicable,Weak inhibitor,0.8304,Non-inhibitor,0.8759
DB15642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08619,+,0.9902,+,0.9464,+,0.5081,Substrate,0.698,Inhibitor,0.6216,Non-inhibitor,0.5698,Non-inhibitor,0.8028,Non-substrate,0.8516,Non-substrate,0.9404,Substrate,0.7287,Non-inhibitor,0.9581,Non-inhibitor,0.9404,Non-inhibitor,0.9507,Non-inhibitor,0.9579,Non-inhibitor,0.8479,Low CYP Inhibitory Promiscuity,0.9157,Non AMES toxic,0.9189,Non-carcinogens,0.9626,Not ready biodegradable,0.9244,"2.1662 LD50, mol/kg",Not applicable,Weak inhibitor,0.901,Non-inhibitor,0.7867
DB01255,+,0.9858,+,0.9444,+,0.664,Substrate,0.6919,Non-inhibitor,0.9264,Non-inhibitor,0.9802,Non-inhibitor,0.8398,Non-substrate,0.8303,Non-substrate,0.621,Non-substrate,0.7228,Non-inhibitor,0.7025,Non-inhibitor,0.9337,Non-inhibitor,0.858,Non-inhibitor,0.7568,Non-inhibitor,0.5499,Low CYP Inhibitory Promiscuity,0.8494,Non AMES toxic,0.7156,Non-carcinogens,0.854,Not ready biodegradable,0.8575,"2.0058 LD50, mol/kg",Not applicable,Weak inhibitor,0.9688,Non-inhibitor,0.9004
DB03508,+,0.9951,+,0.9717,+,0.6988,Non-substrate,0.5165,Non-inhibitor,0.7274,Non-inhibitor,0.7991,Non-inhibitor,0.8186,Non-substrate,0.8928,Non-substrate,0.8227,Non-substrate,0.608,Non-inhibitor,0.8365,Non-inhibitor,0.9402,Non-inhibitor,0.9442,Non-inhibitor,0.9145,Non-inhibitor,0.9725,Low CYP Inhibitory Promiscuity,0.9391,Non AMES toxic,0.8275,Carcinogens,0.5,Ready biodegradable,0.6327,"1.4233 LD50, mol/kg",Not applicable,Weak inhibitor,0.8709,Non-inhibitor,0.7331
DB01274,+,0.8991,-,0.8026,-,0.6916,Substrate,0.747,Non-inhibitor,0.8773,Non-inhibitor,0.8561,Non-inhibitor,0.8818,Non-substrate,0.714,Non-substrate,0.7086,Substrate,0.5556,Non-inhibitor,0.6609,Non-inhibitor,0.907,Inhibitor,0.8931,Inhibitor,0.8994,Non-inhibitor,0.8757,Low CYP Inhibitory Promiscuity,0.8442,Non AMES toxic,0.7517,Non-carcinogens,0.8704,Not ready biodegradable,0.992,"2.4047 LD50, mol/kg",Not applicable,Weak inhibitor,0.9611,Non-inhibitor,0.6602
DB08641,+,0.8784,+,0.6169,-,0.601,Non-substrate,0.7085,Non-inhibitor,0.9043,Non-inhibitor,0.6297,Non-inhibitor,0.9384,Non-substrate,0.6319,Non-substrate,0.8244,Non-substrate,0.6769,Non-inhibitor,0.6331,Non-inhibitor,0.6646,Non-inhibitor,0.887,Non-inhibitor,0.5805,Non-inhibitor,0.937,Low CYP Inhibitory Promiscuity,0.7798,Non AMES toxic,0.5926,Non-carcinogens,0.6867,Not ready biodegradable,0.9773,"2.4094 LD50, mol/kg",Not applicable,Weak inhibitor,0.9201,Non-inhibitor,0.7276
DB01284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01288,+,0.987,-,0.9294,-,0.8957,Substrate,0.7292,Non-inhibitor,0.9064,Non-inhibitor,0.946,Non-inhibitor,0.7992,Non-substrate,0.7004,Non-substrate,0.7055,Non-substrate,0.625,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Inhibitor,0.8932,Non-inhibitor,0.9026,Non-inhibitor,0.8308,Low CYP Inhibitory Promiscuity,0.8681,Non AMES toxic,0.8609,Non-carcinogens,0.9011,Not ready biodegradable,0.9174,"2.1550 LD50, mol/kg",Not applicable,Weak inhibitor,0.813,Non-inhibitor,0.7963
DB15760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB15777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB03556,+,0.9628,+,0.8708,+,0.5519,Substrate,0.5745,Non-inhibitor,0.747,Non-inhibitor,0.7938,Non-inhibitor,0.8562,Non-substrate,0.8066,Non-substrate,0.8479,Non-substrate,0.6649,Non-inhibitor,0.9043,Non-inhibitor,0.9001,Non-inhibitor,0.9443,Non-inhibitor,0.8977,Non-inhibitor,0.9052,Low CYP Inhibitory Promiscuity,0.9535,Non AMES toxic,0.9163,Non-carcinogens,0.6677,Ready biodegradable,0.778,"1.3932 LD50, mol/kg",Not applicable,Weak inhibitor,0.8657,Non-inhibitor,0.6798
DB06409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB12779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB03566,+,0.9215,+,0.6345,+,0.7072,Non-substrate,0.5094,Non-inhibitor,0.9178,Non-inhibitor,0.6414,Non-inhibitor,0.6066,Non-substrate,0.8863,Non-substrate,0.5607,Non-substrate,0.8262,Inhibitor,0.877,Non-inhibitor,0.9072,Non-inhibitor,0.9502,Non-inhibitor,0.9026,Non-inhibitor,0.9703,Low CYP Inhibitory Promiscuity,0.9386,Non AMES toxic,0.8957,Non-carcinogens,0.6436,Ready biodegradable,0.5525,"2.4561 LD50, mol/kg",Not applicable,Weak inhibitor,0.7691,Non-inhibitor,0.7739
DB15821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08683,+,0.9971,+,0.9856,+,0.5296,Non-substrate,0.6771,Non-inhibitor,0.8579,Non-inhibitor,0.9764,Non-inhibitor,0.6648,Non-substrate,0.8261,Non-substrate,0.749,Substrate,0.5138,Non-inhibitor,0.5497,Non-inhibitor,0.7006,Non-inhibitor,0.8158,Non-inhibitor,0.7155,Non-inhibitor,0.6579,Low CYP Inhibitory Promiscuity,0.7484,Non AMES toxic,0.7072,Non-carcinogens,0.8963,Not ready biodegradable,0.9961,"2.1565 LD50, mol/kg",Not applicable,Weak inhibitor,0.9806,Non-inhibitor,0.9574
DB12787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01364,+,0.9645,+,0.5638,+,0.8866,Non-substrate,0.7182,Non-inhibitor,0.9795,Non-inhibitor,0.984,Non-inhibitor,0.8965,Non-substrate,0.8001,Non-substrate,0.7839,Non-substrate,0.7235,Non-inhibitor,0.5595,Non-inhibitor,0.7209,Inhibitor,0.5846,Non-inhibitor,0.5737,Non-inhibitor,0.9431,Low CYP Inhibitory Promiscuity,0.907,Non AMES toxic,0.9517,Non-carcinogens,0.7739,Not ready biodegradable,0.7807,"2.3882 LD50, mol/kg",Not applicable,Weak inhibitor,0.9329,Non-inhibitor,0.9277
DB01365,+,0.9925,+,0.9664,+,0.7962,Non-substrate,0.5711,Non-inhibitor,0.8782,Non-inhibitor,0.9574,Non-inhibitor,0.775,Non-substrate,0.7797,Substrate,0.7109,Non-substrate,0.5507,Non-inhibitor,0.9046,Non-inhibitor,0.923,Inhibitor,0.8932,Non-inhibitor,0.9025,Non-inhibitor,0.8388,Low CYP Inhibitory Promiscuity,0.8682,Non AMES toxic,0.979,Non-carcinogens,0.8079,Not ready biodegradable,0.9633,"2.8952 LD50, mol/kg",Not applicable,Weak inhibitor,0.9804,Non-inhibitor,0.872
DB01366,+,0.9964,+,0.5966,-,0.6522,Substrate,0.7018,Non-inhibitor,0.8943,Non-inhibitor,0.9204,Non-inhibitor,0.9311,Non-substrate,0.8105,Non-substrate,0.6879,Substrate,0.5942,Non-inhibitor,0.538,Inhibitor,0.8949,Non-inhibitor,0.8986,Inhibitor,0.8774,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.6783,Non AMES toxic,0.8558,Non-carcinogens,0.9066,Not ready biodegradable,0.9889,"2.4772 LD50, mol/kg",Not applicable,Weak inhibitor,0.9921,Non-inhibitor,0.6841
DB08704,+,0.7726,-,0.8597,-,0.6675,Substrate,0.7657,Inhibitor,0.6647,Non-inhibitor,0.6517,Non-inhibitor,0.915,Non-substrate,0.6917,Non-substrate,0.8256,Substrate,0.5241,Non-inhibitor,0.8049,Non-inhibitor,0.7804,Non-inhibitor,0.8756,Non-inhibitor,0.6701,Non-inhibitor,0.7636,Low CYP Inhibitory Promiscuity,0.884,AMES toxic,0.5102,Non-carcinogens,0.8879,Not ready biodegradable,0.9389,"2.5229 LD50, mol/kg",Not applicable,Weak inhibitor,0.957,Non-inhibitor,0.7335
DB01380,+,0.983,+,0.9851,-,0.6606,Substrate,0.7382,Inhibitor,0.7341,Inhibitor,0.5925,Non-inhibitor,0.7452,Non-substrate,0.8551,Non-substrate,0.9294,Substrate,0.7841,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.9556,Non-inhibitor,0.9026,Non-inhibitor,0.8588,Low CYP Inhibitory Promiscuity,0.9246,Non AMES toxic,0.9409,Non-carcinogens,0.9551,Not ready biodegradable,0.9354,"2.1280 LD50, mol/kg",Not applicable,Weak inhibitor,0.9599,Non-inhibitor,0.6638
DB01406,+,1.0,+,0.9781,+,0.8866,Substrate,0.5938,Non-inhibitor,0.5194,Non-inhibitor,0.8893,Non-inhibitor,0.8178,Non-substrate,0.8487,Non-substrate,0.9116,Substrate,0.67,Inhibitor,0.9107,Non-inhibitor,0.7407,Non-inhibitor,0.8731,Inhibitor,0.5962,Inhibitor,0.796,High CYP Inhibitory Promiscuity,0.7692,Non AMES toxic,0.6885,Non-carcinogens,0.9083,Not ready biodegradable,0.9562,"1.3291 LD50, mol/kg",Not applicable,Weak inhibitor,0.6896,Non-inhibitor,0.8734
DB01407,+,0.9484,+,0.8631,+,0.5375,Substrate,0.5588,Non-inhibitor,0.8863,Non-inhibitor,0.9627,Non-inhibitor,0.9052,Non-substrate,0.8142,Non-substrate,0.683,Non-substrate,0.5835,Non-inhibitor,0.9045,Non-inhibitor,0.907,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.831,Low CYP Inhibitory Promiscuity,0.5428,Non AMES toxic,0.8858,Non-carcinogens,0.5199,Not ready biodegradable,1.0,"2.6024 LD50, mol/kg",Not applicable,Weak inhibitor,0.9704,Non-inhibitor,0.8546
DB01410,+,0.9907,+,0.9439,-,0.6847,Substrate,0.7787,Inhibitor,0.8247,Inhibitor,0.9476,Non-inhibitor,0.7744,Non-substrate,0.8232,Non-substrate,0.915,Substrate,0.774,Non-inhibitor,0.9046,Non-inhibitor,0.7104,Non-inhibitor,0.9407,Non-inhibitor,0.9151,Non-inhibitor,0.6192,Low CYP Inhibitory Promiscuity,0.8478,Non AMES toxic,0.9032,Non-carcinogens,0.9367,Not ready biodegradable,0.9897,"3.5547 LD50, mol/kg",Not applicable,Weak inhibitor,0.9738,Non-inhibitor,0.595
DB12846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB03622,+,0.6425,-,0.582,-,0.7371,Substrate,0.8264,Inhibitor,0.5124,Non-inhibitor,0.8033,Non-inhibitor,0.6879,Non-substrate,0.6255,Non-substrate,0.8072,Non-substrate,0.5719,Non-inhibitor,0.9335,Non-inhibitor,0.8488,Non-inhibitor,0.9192,Non-inhibitor,0.8316,Non-inhibitor,0.7842,Low CYP Inhibitory Promiscuity,0.9886,Non AMES toxic,0.6175,Non-carcinogens,0.7612,Not ready biodegradable,0.9923,"2.3921 LD50, mol/kg",Not applicable,Weak inhibitor,0.8837,Inhibitor,0.5398
DB01420,+,1.0,+,0.974,+,0.6304,Substrate,0.6262,Inhibitor,0.8746,Inhibitor,0.7623,Non-inhibitor,0.776,Non-substrate,0.8672,Non-substrate,0.9159,Substrate,0.7429,Non-inhibitor,0.9445,Non-inhibitor,0.8459,Non-inhibitor,0.9301,Inhibitor,0.6089,Non-inhibitor,0.7576,Low CYP Inhibitory Promiscuity,0.5939,Non AMES toxic,0.9474,Non-carcinogens,0.9046,Not ready biodegradable,0.9777,"2.0463 LD50, mol/kg",Not applicable,Weak inhibitor,0.8475,Non-inhibitor,0.7643
DB12861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01434,+,1.0,+,0.9723,+,0.7785,Substrate,0.5551,Inhibitor,0.8097,Non-inhibitor,0.6972,Non-inhibitor,0.638,Non-substrate,0.827,Non-substrate,0.9064,Substrate,0.6816,Non-inhibitor,0.8259,Non-inhibitor,0.9269,Non-inhibitor,0.94,Non-inhibitor,0.7094,Non-inhibitor,0.8652,Low CYP Inhibitory Promiscuity,0.7931,Non AMES toxic,0.9189,Non-carcinogens,0.9403,Not ready biodegradable,0.9401,"1.6104 LD50, mol/kg",Not applicable,Weak inhibitor,0.7011,Non-inhibitor,0.7574
DB15954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01439,+,0.9896,+,0.9826,+,0.6364,Substrate,0.6543,Inhibitor,0.7429,Non-inhibitor,0.51,Inhibitor,0.5207,Non-substrate,0.7735,Non-substrate,0.7406,Substrate,0.6614,Non-inhibitor,0.7207,Non-inhibitor,0.6618,Non-inhibitor,0.7754,Inhibitor,0.6434,Non-inhibitor,0.6258,High CYP Inhibitory Promiscuity,0.572,Non AMES toxic,0.8565,Non-carcinogens,0.8682,Not ready biodegradable,0.9549,"2.8704 LD50, mol/kg",Not applicable,Weak inhibitor,0.9351,Inhibitor,0.6674
DB01443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01452,+,0.9932,+,0.9892,+,0.7924,Substrate,0.837,Inhibitor,0.8674,Non-inhibitor,0.6816,Non-inhibitor,0.5372,Non-substrate,0.8192,Substrate,0.6599,Substrate,0.7803,Non-inhibitor,0.7994,Non-inhibitor,0.8162,Non-inhibitor,0.6335,Non-inhibitor,0.8059,Non-inhibitor,0.8072,Low CYP Inhibitory Promiscuity,0.8335,Non AMES toxic,0.6935,Non-carcinogens,0.9341,Not ready biodegradable,0.9696,"2.8951 LD50, mol/kg",Not applicable,Weak inhibitor,0.9038,Non-inhibitor,0.9086
DB01453,+,0.9828,+,0.868,+,0.5647,Substrate,0.6882,Inhibitor,0.8328,Non-inhibitor,0.5412,Non-inhibitor,0.5906,Non-substrate,0.719,Non-substrate,0.833,Substrate,0.5895,Non-inhibitor,0.8564,Non-inhibitor,0.8716,Non-inhibitor,0.7524,Non-inhibitor,0.7187,Non-inhibitor,0.8795,Low CYP Inhibitory Promiscuity,0.6221,Non AMES toxic,0.7188,Non-carcinogens,0.8591,Not ready biodegradable,0.5813,"2.9584 LD50, mol/kg",Not applicable,Weak inhibitor,0.8412,Inhibitor,0.653
DB15970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01463,+,1.0,+,0.9756,+,0.6244,Non-substrate,0.648,Inhibitor,0.5239,Inhibitor,0.6499,Non-inhibitor,0.5876,Non-substrate,0.7441,Non-substrate,0.6052,Non-substrate,0.6348,Inhibitor,0.871,Non-inhibitor,0.6742,Inhibitor,0.7272,Inhibitor,0.645,Non-inhibitor,0.7812,High CYP Inhibitory Promiscuity,0.8237,Non AMES toxic,0.7967,Non-carcinogens,0.7716,Not ready biodegradable,0.6553,"3.3827 LD50, mol/kg",Not applicable,Weak inhibitor,0.7712,Inhibitor,0.5827
DB15984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01466,+,0.995,+,0.9981,+,0.7931,Substrate,0.8987,Inhibitor,0.682,Non-inhibitor,0.6396,Inhibitor,0.6561,Non-substrate,0.8039,Substrate,0.8919,Substrate,0.7344,Non-inhibitor,0.7851,Non-inhibitor,0.8693,Inhibitor,0.6878,Non-inhibitor,0.8318,Non-inhibitor,0.8273,Low CYP Inhibitory Promiscuity,0.5795,Non AMES toxic,0.8526,Non-carcinogens,0.9453,Not ready biodegradable,0.9962,"2.6192 LD50, mol/kg",Not applicable,Weak inhibitor,0.7839,Non-inhibitor,0.6518
DB15988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01470,+,0.9877,+,0.9898,+,0.624,Substrate,0.6665,Inhibitor,0.665,Non-inhibitor,0.6481,Inhibitor,0.5291,Non-substrate,0.7737,Non-substrate,0.7648,Substrate,0.632,Non-inhibitor,0.7647,Non-inhibitor,0.756,Non-inhibitor,0.7472,Inhibitor,0.6574,Non-inhibitor,0.7862,High CYP Inhibitory Promiscuity,0.5135,Non AMES toxic,0.8402,Non-carcinogens,0.8713,Not ready biodegradable,0.9289,"2.9487 LD50, mol/kg",Not applicable,Weak inhibitor,0.9488,Inhibitor,0.6533
DB01471,+,1.0,+,0.9774,+,0.8737,Substrate,0.6431,Inhibitor,0.5981,Non-inhibitor,0.732,Non-inhibitor,0.757,Non-substrate,0.8075,Non-substrate,0.8604,Substrate,0.7916,Non-inhibitor,0.8619,Non-inhibitor,0.8844,Non-inhibitor,0.951,Non-inhibitor,0.6629,Non-inhibitor,0.8713,Low CYP Inhibitory Promiscuity,0.8711,Non AMES toxic,0.9429,Non-carcinogens,0.9361,Not ready biodegradable,0.9494,"2.0516 LD50, mol/kg",Not applicable,Weak inhibitor,0.886,Non-inhibitor,0.7219
DB12915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB15999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB16001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
